#0 ey,0 Sy,90 ey,90 Sy,45 ey,45 Sy
0.048167,72.105,,,0.086756,76.577
0.048396,72.138,,,0.087135,76.601
0.048792,72.225,,,0.087574,76.648
0.048946,72.257,,,0.088093,76.696
0.049071,72.304,,,0.088545,76.734
0.049438,72.352,,,0.089411,76.798
0.049524,72.382,,,0.090212,76.846
0.049834,72.435,,,0.091256,76.923
0.049995,72.476,,,0.092298,76.992
0.050239,72.572,,,0.093174,77.052
0.050683,72.636,,,0.093875,77.091
0.050871,72.655,,,0.094573,77.154
0.051168,72.695,,,0.094971,77.134
0.05134,72.729,,,0.095746,77.187
0.051544,72.794,,,0.096261,77.201
0.05182,72.824,,,0.096728,77.211
0.052485,72.965,,,0.097749,77.254
0.052682,73.001,,,0.098432,77.284
0.052861,73.051,,,0.09934,77.301
0.053138,73.109,,,0.09998,76.426
0.053515,73.177,,,,
0.053728,73.33,,,,
0.055005,73.483,,,,
0.055273,73.506,,,,
0.055607,73.562,,,,
0.055811,73.602,,,,
0.056014,73.641,,,,
0.056245,73.696,,,,
0.056501,73.743,,,,
0.056939,73.81,,,,
0.057135,73.853,,,,
0.057381,73.9,,,,
0.057676,73.933,,,,
0.057821,73.968,,,,
0.058125,74.025,,,,
0.058302,74.066,,,,
0.058572,74.11,,,,
0.058811,74.143,,,,
0.059105,74.192,,,,
0.059271,74.235,,,,
0.059515,74.261,,,,
0.060078,74.334,,,,
0.060318,74.381,,,,
0.060647,74.428,,,,
0.060842,74.465,,,,
0.060975,74.505,,,,
0.061277,74.568,,,,
0.061625,74.607,,,,
0.06193,74.65,,,,
0.06208,74.665,,,,
0.062418,74.72,,,,
0.062695,74.76,,,,
0.062852,74.79,,,,
0.063061,74.823,,,,
0.063422,74.88,,,,
0.063784,74.931,,,,
0.063996,74.979,,,,
0.064233,75.01,,,,
0.064621,75.054,,,,
0.064779,75.091,,,,
0.065011,75.12,,,,
0.065375,75.174,,,,
0.065642,75.188,,,,
0.065877,75.233,,,,
0.066114,75.273,,,,
0.066422,75.325,,,,
0.066678,75.361,,,,
0.066927,75.403,,,,
0.06722,75.447,,,,
0.067506,75.485,,,,
0.067738,75.52,,,,
0.067962,75.554,,,,
0.068271,75.596,,,,
0.068583,75.631,,,,
0.068786,75.66,,,,
0.069177,75.708,,,,
0.069323,75.744,,,,
0.069623,75.782,,,,
0.069978,75.828,,,,
0.070208,75.865,,,,
0.070514,75.912,,,,
0.070887,75.949,,,,
0.071099,75.972,,,,
0.071391,76.008,,,,
0.071689,76.041,,,,
0.072033,76.074,,,,
0.072352,76.113,,,,
0.072508,76.139,,,,
0.072789,76.186,,,,
0.073203,76.24,,,,
0.07335,76.274,,,,
0.073653,76.307,,,,
0.074074,76.351,,,,
0.074261,76.394,,,,
0.074534,76.423,,,,
0.074827,76.456,,,,
0.0752,76.497,,,,
0.075368,76.529,,,,
0.075762,76.565,,,,
0.07613,76.605,,,,
0.076532,76.65,,,,
0.076785,76.691,,,,
0.07702,76.72,,,,
0.077332,76.753,,,,
0.077592,76.77,,,,
0.077871,76.796,,,,
0.07829,76.839,,,,
0.078575,76.866,,,,
0.078845,76.886,,,,
0.079269,76.951,,,,
0.079653,76.984,,,,
0.079923,77.024,,,,
0.080153,77.032,,,,
0.080465,77.077,,,,
0.0809,77.108,,,,
0.081254,77.147,,,,
0.081742,77.181,,,,
0.081871,77.185,,,,
0.082169,77.199,,,,
0.082589,77.226,,,,
0.083021,77.284,,,,
0.08329,77.313,,,,
0.083663,77.335,,,,
0.084048,77.365,,,,
0.084494,77.393,,,,
0.084901,77.423,,,,
0.085271,77.439,,,,
0.085587,77.444,,,,
0.085945,77.473,,,,
0.086471,77.501,,,,
0.086858,77.507,,,,
0.087261,77.53,,,,
0.087683,77.553,,,,
0.088103,77.568,,,,
0.088565,77.567,,,,
0.089064,77.585,,,,
0.089478,77.578,,,,
0.089982,77.575,,,,
